frame_idx,infer_ms,track_ms,total_ms,gt_count,pred_count
1,5733.657899996615,2.130500004568603,5753.282800003944,4,4
2,24.309899999934714,11.11720000335481,50.65560000366531,6,6
3,21.452900000440422,4.919800005154684,41.98449999967124,8,10
4,22.115899999334943,4.492200001550373,43.19460000260733,8,9
5,26.779200001328718,4.586000002746005,48.02940000081435,7,7
6,22.068800004490186,3.142399997159373,38.6036999989301,6,6
7,23.444099999323953,3.411599995160941,42.27969999919878,7,7
8,23.109900001145434,3.426499999477528,38.7990000017453,6,6
9,22.497500001918525,4.248999997798819,43.229900002188515,9,9
10,22.214900003746152,2.598899998702109,39.293499998166226,7,9
11,24.226900000940077,5.197300000872929,44.95090000273194,8,9
12,23.405200001434423,2.3673999967286363,43.10550000082003,7,8
13,21.69349999894621,3.5417000035522506,41.76509999524569,7,7
14,20.992900004785042,4.455599999346305,43.518700003915,10,11
15,22.463599998445716,5.079500006104354,43.33240000414662,7,7
16,24.11230000143405,4.6432000017375685,44.32660000020405,8,8
17,22.875699993164744,4.538200002571102,46.79139999643667,9,10
18,24.511000003258232,4.573700003675185,48.925700000836514,10,10
19,21.909400005824864,5.438400003185961,46.300100002554245,8,9
20,20.701999994344078,5.084099997475278,41.66000000259373,6,6
21,24.036100003286265,5.127500000526197,48.28559999441495,11,12
22,23.891299999377225,4.67959999514278,44.97540000011213,10,11
23,25.134799994702917,5.597500006842893,44.5010999974329,7,8
24,21.294300000590738,4.203299999062438,42.908399998850655,7,7
25,22.07529999577673,5.008300002373289,45.41359999711858,7,8
26,23.172799999883864,4.170600004727021,41.29570000077365,7,7
27,24.152600002707914,5.565200001001358,44.82529999950202,6,6
28,26.74750000005588,2.014099998632446,42.63170000194805,6,6
29,22.01960000093095,5.037500006437767,46.0017000004882,10,10
30,24.311599998327438,5.238500001723878,44.792500004405156,7,7
31,23.817799999960698,4.626600006304216,44.41979999683099,6,6
32,24.57289999438217,4.335400000854861,46.28719999891473,6,6
33,26.0333999976865,4.908000002615154,48.68200000055367,7,7
34,24.566599997342564,5.31339999724878,43.94920000049751,6,6
35,22.28540000214707,4.778800001076888,44.91810000035912,6,6
36,25.384999993548263,6.95580000319751,53.40489999798592,9,9
37,23.886999995738734,4.489099999773316,43.338600000424776,7,7
38,27.678099999320693,2.938899997388944,47.967499995138496,7,7
39,23.061699997924734,4.887299997790251,44.877599997562356,7,8
40,24.592499998107087,5.597600000328384,45.69820000324398,6,6
41,24.483900000632275,4.082499996002298,44.55549999693176,7,7
42,22.75789999839617,4.1951000021072105,42.226199999277014,8,8
43,21.39349999924889,4.757100003189407,41.00599999947008,10,11
44,23.31189999677008,4.00880000233883,45.62670000450453,7,7
45,21.70010000554612,3.158799998345785,39.36070000054315,8,8
46,23.23640000395244,4.363500003819354,42.08459999790648,6,6
47,29.21980000246549,4.51739999698475,49.6595000004163,6,6
48,25.414800002181437,3.960500005632639,46.266400000604335,6,7
49,29.104799999913666,3.5870000065187924,47.391599997354206,6,6
